Extracted
Child: śatul; Parent: Saturn
Child: Uran; Parent: Ułan
Child: Biemia; Parent: Ziemia
Child: Jowisz; Parent: Jowisz
Child: Wełu; Parent: Wenus
Child: Deść; Parent: Deszcz
Child: Ptaki; Parent: Ptaki
Child: Biba; Parent: Ryba
Child: Deci; Parent: Delfin
Child: Tatunku; Parent: Ratunku
Child: Ocionka; Parent: Owsianka
Child: Jaja; Parent: Jajecznica
Child: Paleniko; Parent: Palenisko
Child: Kamnin mniti; Parent: Kabina maszynisty
Child: Sinik; Parent: Silnik
Child: Zbiebacz paji; Parent: Zbieracz pary
Child: Hamnot; Parent: Samolot
Child: Jega; Parent: Zegar
Child: Sklenka; Parent: Skręca 
Child: Cat; Parent: Cat
Child: Mniam; Parent: She wants to eat something. 
Child: Go; Parent: Let's go. Let's start to move. 
Child: Baba; Parent: Babcia
Child: Tata; Parent: Father
Child: Koło; Parent: Wheel / something round
Child: Car; Parent: Samochód 
Child: Nie; Parent: No / disagreement
Child: Koala; Parent: Koala - animal 
Child: Kupa; Parent: Poo
Child: Duża ; Parent: Big
Child: Am; Parent: To eat / especially give food to somebody 
Child: Mama; Parent: Mother 
Child: Popo; Parent: Pola - name of my child
Child: Ka; Parent: Ptak / bird 
Child: Muuuu; Parent: Cow / krowa 
Child: Pa pa; Parent: Bye bye / do widzenia 
Child: Ha ha; Parent: I ha ha / horse / koń
Child: This; Parent: To / this thing
"Child: Łe łe; Parent: Małe dziecko, dzidzia "
Child: Ało; Parent: Halo? Picking up a phone call. 
Child: Oko; Parent: An eye
Child: Tapta; Parent: Tapu Tapu / walking 
Child: Puple; Parent: Purple / color
Child: Up; Parent: U góry 
Child: Ko Ko Ko ; Parent: Sound of a hen
Child: Moo; Parent: Moon / księżyc 
Child: Tu; Parent: Here
Child: Apo; Parent: Apple
Child: Shoe; Parent: But
Child: Duzio; Parent: Dużo
Child: Kuku; Parent: Kuku / jakieś miejsce gdzie coś boli 
Child: Ja; Parent: I
Child: Pij; Parent: To drink / I'm drinking 
Child: Pis; Parent: Pies / dog
Child: Mummy; Parent: Mama
Child: Niecie; Parent: Nie chcę 
Child: Wow; Parent: Amazement / wow! 
Child: Mis; Parent: Miś / teddy bear
Child: Nósz; Parent: Nóż / knife 
Child: Yellow; Parent: Zółty
Child: Daddy; Parent: Tata
Child: Hello; Parent: Cześć 
Child: Dół; Parent: Downstairs / iść na dół
Child: Chcesz; Parent: I want
Child: Pola; Parent: My daughter's name
Child: Mój ; Parent: Mine
Child: Bobo; Parent: Dziecko / brst Pucia 
Child: Yes; Parent: Tak
Child: Usiuś ; Parent: Usiąddź / sit down 
"Child: Press; Parent: Press, nacisnąć"
Child: Back; Parent: Plecy / z tyłu 
Child: Yes; Parent: Tak
Child: Baby; Parent: Dziecko 
Child: Ball; Parent: Piłka
Child: Jaja; Parent: Jajko / egg
Child: Lala; Parent: Doll / lalka
Child: Łosiu; Parent: Łoś / moose 
Child: Push; Parent: To push /popchnąć 
Child: Tutle; Parent: Turtle / żółw 
Child: Adam; Parent: Adam
Child: Ala; Parent: Ala
Child: I ha; Parent: Koń
Child: Tata; Parent: Tata
Child: Gardłowe szczekanie; Parent: Naśladuje odgłos szczekania
Child: Mimi; Parent: Misia - siostra Pucia
Child: Mimi; Parent: Miś - zabawka
Child: Pam; Parent: Pan
"Child: Niuniu; Parent: Nunuś, brat Kici Koci"
"Child: Opa; Parent: Do góry, mówione przy podnoszeniu"
Child: A du! ; Parent: Na dół
Child: Pi pi; Parent: Piłka
Child: Aba; Parent: Arbuz
Child: Auto; Parent: Samochód
Child: Dzyń dzyń; Parent: Tramwaj
Child: Mama; Parent: Mama
"Child: Mia; Parent: Miał, kotek"
Child: Mu; Parent: Krowa
Child: Nie; Parent: Nie
Child: Pi pi; Parent: Myszka
"Child: Kopu kopu; Parent: Kąpu kąpu, kąpiel "
Child: Kieki; Parent: Kredki
"Child: Ał ał, ał; Parent: Ała, boli"
Child: Kopu kopu; Parent: Kąpiel (mówimy kąpu kąpu) 
Child: Oko; Parent: Oko
"Child: Tu tu tu; Parent: Słoń, ddźwięk wydawany przez słonia "
Child: Ciato; Parent: Ciasto
Child: La; Parent: Las
"Child: Alo; Parent: Na lody, lody"
"Child: Alo; Parent: Na lody, lody"
Child: Kaka; Parent: Kasztan
Child: Kaka; Parent: Kasztan
Child: Li; Parent: Liść
Child: Li; Parent: Liść
"Child: Sosia; Parent: Zosia, jej imię "
"Child: Sosia; Parent: Zosia, jej imię "
"Child: Bebu; Parent: But, buty"
Child: Kaka; Parent: Katar
Child: Mi; Parent: Miś
Child: Pipa; Parent: Piłka
Child: Tato; Parent: Traktor
Child: Dzi; Parent: Dzik
Child: Tu tu tu; Parent: Trąbienie samochodu
Child: Bubu; Parent: Bóbr 
"Child: Kła kła; Parent: Kaczka, kwakanie"
Child: Le; Parent: źle 
Child: Sisia; Parent: Szyszka
Child: Mam; Parent: Mam
Child: Sel; Parent: Ser
Child: Didzia; Parent: Dynia
Child: Alal; Parent: Alarm
"Child: Jaja; Parent: Jajko, jajka"
Child: Dem; Parent: Dżem
Child: Ani na; Parent: Ani jednego
Child: Niuń; Parent: Nóż 
Child: Gaga; Parent: Garaż
Child: Obia; Parent: Obiad
Child: Gago; Parent: Gofry
"Child: Inne; Parent: Inny, inna, inne"
Child: Kapu; Parent: Mokra
Child: Lula; Parent: Rura
Child: Nunu; Parent: Danusia (babcia) 
"Child: Opa; Parent: Na dół, usiąddź "
Child: Ucha; Parent: Sucha 
Child: Ucha; Parent: Mucha
"Child: Opa; Parent: Do góry, mówione przy podnoszeniu, usiąddź"
"Child: Opa; Parent: Do góry, mówione przy podnoszeniu, usiąddź"
"Child: Ał ał, ał, ała; Parent: Ała, boli"
Child: Mama; Parent: Mama
Child: Mami; Parent: Mama
"Child: Dzyniu, dzyniu; Parent: Tramwaj"
Child: Babia; Parent: Banan
Child: Papia; Parent: Placek
"Child: Papia; Parent: światło, lampa, latarnia "
"Child: Papia; Parent: światło, lampa, latarnia "
"Child: Papia; Parent: światło, lampa, latarnia "
Child: Agon; Parent: Ogon
Child: Blubla; Parent: Wróble
Child: Zia Zosia; Parent: Moja Zosia
Child: I-a; Parent: Oliwka
Child: Sisia; Parent: śliniak
"Child: Bibla; Parent: Bilet, bilety"
"Child: Blabla; Parent: Balon z koszem, latajacy"
Child: Giga; Parent: Księżyc
Child: Cita; Parent: Czyta
Child: Guga; Parent: Kogut
Child: Ko; Parent: Kość
Child: Mió; Parent: Miód
Child: Ul; Parent: Ul
Child: Gua; Parent: Papuga
"Child: Tup tup tup; Parent: Chodzić, biegać "
"Child: Tup tup tup; Parent: Chodzić, biegać "
Child: Gła; Parent: Mgła
Child: Okuła; Parent: Okulary
Child: Obju; Parent: Obrus
"Child: Hania; Parent: Hania, imię babci "
"Child: Hop; Parent: Skakać, podnosić kogoś do góry za ręce (jeden rodzic za jedną rękę, drugi rodzic za drugą)"
"Child: Nunia; Parent: Nogą, nóżka "
Child: Siama; Parent: Sama
"Child: Halo; Parent: Halo, udając, że do kogoś dzwoni"
"Child: Gosia; Parent: Gosia, imię mamy"
"Child: Kapi; Parent: Kacper, imię taty"
Child: Kem; Parent: Krem
Child: Miś; Parent: Miś
Child: Nóś; Parent: Nóż
Child: Okuła; Parent: Okulary
Child: Osioł; Parent: Osioł 
Child: ślija; Parent: śliniak
"Child: Gaga; Parent: Grzegorz, imię dziadków "
"Child: Kika; Parent: Klikać, naciskać przyciski na tel lub klawiaturze "
Child: Noś; Parent: Nos
"Child: Tulu tulu; Parent: Przytulać, tulić"
Child: Tany tany; Parent: Tańczyć
Child: La la la; Parent: śpiewać 
Child: Jesz; Parent: Jeż
Child: Hipo; Parent: Hipopotam 
Child: Ciśte; Parent: Czyste
Child: Kaku; Parent: Kaczor
Child: Dabu dabu; Parent: Badać 
Child: Tola; Parent: Tory
Child: Siaś; Parent: Staś
Child: Toła; Parent: Czoło
Child: Siuła; Parent: Suwak
Child: Uga; Parent: Ugrydźć 
Child: Kap; Parent: Krab
Child: Lama; Parent: Lama
Child: Siali; Parent: Szalik
Child: Kiwi; Parent: Kiwi
Child: Plama; Parent: Piana
Child: Miamia; Parent: Myć się 
"Child: Gabka, wcześniej gabu gabu; Parent: Gąbka"
Child: Plasia; Parent: Plansza
Child: Samomo; Parent: Samolot
Child: Kum kum; Parent: Żaba
Child: Kapki; Parent: Czapka
Child: Goła; Parent: Głowa
Child: Toła; Parent: Czoło
Child: Kosiu bia; Parent: Kosz na odpady bio
Child: Abjam; Parent: Ubierać się 
Child: Juś; Parent: Już
Child: Psi; Parent: śpi
Child: Dzi; Parent: Drzwi
Child: Konki; Parent: Kończy 
"Child: Akej; Parent: Ok, kiedy uważa już wystarczy, np. już można przestać się przytulać, coś się upiekło "
Child: Tas; Parent: Czas na zrobienie czegoś 
"Child: Bajka; Parent: Bajka, przy usypianiu żeby nie śpiewać tylko odpowiedzieć "
Child: Koni; Parent: Koniec
Child: Chucha; Parent: Słucha 
Child: Papa; Parent: Pestka
Child: Sinka; Parent: świnka
Child: Sija; Parent: Szyja
Child: Jóf; Parent: Zółw
Child: Ablu; Parent: Obrót 
Child: Afa afa; Parent: Żyrafa
Child: Leła; Parent: Lewa
Child: Plała; Parent: Prawa 
Child: Pamóś; Parent: Pomóż
Child: Małka; Parent: Mąka
Child: Kiasia; Parent: Kwiatek
Child: Pilaf; Parent: Pilot
Child: Taleś; Parent: Talerz 
Child: Sinka; Parent: świnka
Child: Chum chum; Parent: Chrum chrum
Child: Koni; Parent: Konik
Child: Kława; Parent: Krowa
Child: Kułka; Parent: Kurka
Child: Bluśka; Parent: Bluzka
"Child: Pajaś; Parent: Pajac, ubranie dla dziecka "
Child: Chosiu; Parent: Choddź tu
"Child: Sanki, sianki; Parent: Sanki"
"Child: Choli, chola; Parent: Chory, chora"
Child: Mala; Parent: Mała
Child: Lowa; Parent: Zdrowa
Child: Gingin; Parent: Pingwin
Child: Gipś; Parent: Gips
Child: Galika; Parent: Rogalik
Child: Kami; Parent: Karmi
Child: Plawi; Parent: Poprawi
Child: Piła; Parent: Piła
Child: Apala; Parent: Aparat
Child: Dudi dani; Parent: Drugie danie
Child: Juja; Parent: Żólte
Child: Juwa; Parent: Wujek
Child: Laliśka; Parent: Walizka
Child: Siół; Parent: Stół
Child: Małka; Parent: Młotek
Child: Giś; Parent: Grydź
Child: Siupal; Parent: Super
Child: Psiepś; Parent: Pieprz
Child: Pinka; Parent: Spinka
Child: Zima; Parent: Zima
Child: Piaśki; Parent: Ptaszki
Child: Lasiaj; Parent: Wracaj
Child: Galetka; Parent: Galaretka
Child: Obok; Parent: Obok
Child: Papulka; Parent: Parówka
Child: Lesi; Parent: Naleśniki
Child: Chuśka; Parent: Chusteczka higieniczna
"Child: Siulek, siulka; Parent: Szczurek, szczurka"
Child: Paśka; Parent: Pasta do zębów
Child: Kokijka; Parent: Krokodyl
Child: Palasiola; Parent: Parasol
Child: Blonka; Parent: Biedronka
Child: Siapelka; Parent: Skarpetka
Child: Uuś; Parent: Ułóż (np. puzzle) 
Child: Balanka; Parent: Baranek
Child: Boi; Parent: Boi się
Child: Pjółka; Parent: Pszczółka
Child: Kopalka; Parent: Koparka
Child: Pempuśka; Parent: Pępek
Child: Paluśka; Parent: Pieluszka
Child: Lawaka; Parent: Laweta
Child: Psu; Parent: Zepsute
Child: Siapelki; Parent: Skarpetki
Child: Paśka; Parent: Pasztet 
Child: Bieśki; Parent: Niebieski
Child: Siupel siaka; Parent: Skoda superb
Child: Pipka; Parent: Pizza
Child: Odjefa; Parent: Odjechała
Child: Lak; Parent: Rak
Child: Lalófka; Parent: Wiewiórka 
"Child: Lamagaj; Parent: Linomag, krem do pupy"
Child: Pampingu; Parent: Parkingu
Child: Aduafa; Parent: Odjechał/a
Child: Lonka; Parent: Winogronka
Child: Jajenka; Parent: Łazienka
Child: Nik; Parent: Nic
Child: Papuśka; Parent: Poduszka
Child: Djefko; Parent: Drzewko
Child: Malefka; Parent: Marchewka
Child: Gajeka; Parent: Gazeta
Child: Biega; Parent: Biega
Child: Jaba; Parent: Żaba
Child: Woda; Parent: Woda
Child: Luwalinka; Parent: Żurawinka
"Child: Blablanot, blablanoc; Parent: Dobranoc"
Child: Gziebeń; Parent: Grzebień
"Child: Siotećka, siotka; Parent: Szczoteczka, szczotka"
"Child: Siotećka, siotka; Parent: Szczoteczka, szczotka"
"Child: Kolelka; Parent: Gondola, kolejka na wyciągu narciarskim "
Child: Ginginek; Parent: Pingwinek
Child: Hoki; Parent: Foki
Child: Hinalacja; Parent: Inhalacja
Child: śkalpetka; Parent: Skarpetka
Child: Ta; Parent: Tak
Child: Am; Parent: Jeść 
Child: Ania; Parent: Hania
Child: Auau; Parent: Pies 
Child: Bam; Parent: Upadek 
Child: Ej; Parent: Hej
Child: Kotukotu; Parent: Kot
Child: Mama; Parent: Mama/tata
Child: Mama; Parent: Mama/tata
Child: Nie; Parent: Nie
Child: Papa; Parent: Papa
Child: Sześć; Parent: Cześć 
Child: Woa; Parent: Woda
Child: Y; Parent: Wszystko pozostałe 
Child: Baba; Parent: Babka
Child: Bibi ; Parent: ?
Child: Ciu ciu; Parent: Pociąg
Child: Gili gili; Parent: Gili gili / łaskotanie
Child: Baba; Parent: Babka z piasku
Child: Krlólik; Parent: Królik 
Child: Pić ; Parent: Picie
Child: Piś; Parent: Picie
Child: Siu; Parent: Robić siusiu
Child: Ziu; Parent: Zjazd na zjeżdżalni 
Child: Cie; Parent: Chcę 
Child: Psi psi; Parent: Siku
Child: Am am; Parent: Jeść 
Child: Hop; Parent: Hop/skok
Child: Goomp; Parent: Gołąb 
Child: Tykaj; Parent: Tutaj
Child: Prututu; Parent: Ddźwięk trąbki 
Child: Kej; Parent: Okej
Child: Aaa; Parent: Kołysanka 
Child: Io; Parent: Karetka
Child: Ziu; Parent: Sukienka
Child: Ijuł; Parent: Mycie zębów 
Child: Buju; Parent: Bujać się na huśtawce 
Child: Grru; Parent: Ddźwięk gołębia/gołąb 
Child: Hau; Parent: Szczekanie psa/pies
Child: Kicikici; Parent: Kot
Child: Ziu; Parent: Taniec
Child: Chlap chlap; Parent: Woda
Child: Kuku; Parent: A kuku
Child: Choć; Parent: Choddź
Child: Tej; Parent: Tutaj 
Child: Nu nu; Parent: Nie wolno 
Child: Bib; Parent: Bing
Child: O nie; Parent: O nie
Child: Tak; Parent: Tak
Child: Tata; Parent: Tata
"Child: Mija; Parent: Moje, dla mnie"
Child: Muj; Parent: Moje
Child: Mi?; Parent: Dla mnie?
Child: Wa; Parent: Dwa
"Child: Szeeść; Parent: Sześć, liczenie "
"Child: Kupka; Parent: Robienie kupy, kupa"
Child: Ajć; Parent: Zadać ból
Child: Kukaj; Parent: Tutaj 
Child: Bajć; Parent: Upaść
Child: Ja; Parent: Ja
Child: Amen; Parent: Amen
Child: Daj mi; Parent: Zgodnie z brzmieniem
Child: Mama; Parent: Mama
Child: Nie; Parent: Nie jako nie
Child: Miamia; Parent: Kot
Child: Uuuu; Parent: Sowa
Child: Brumbrum; Parent: Samochód pojazd
Child: Baba; Parent: Babcia
Child: Dada; Parent: Dziadek
Child: Ten; Parent: Ten
Child: Amam; Parent: Gdy jest glodna
"Child: Bam; Parent: Gdy się wywróci, lub gdy coś spadnie"
Child: Tata; Parent: Tata
Child: Ciuch ciuch; Parent: Pociag
Child: Tak; Parent: Tak
Child: Nie ma; Parent: Nie ma
Child: Hop hop; Parent: Mówi to jak próbuje skakać uginając kolana
Child: Tuptup; Parent: Jak chce tuptac
Child: To; Parent: To
Child: Luba; Parent: Imię niani
Child: Żaba; Parent: Żaba
Child: Baje; Parent: Bajka na telefonie
Child: Choddź; Parent: Przywołuje za sobą domowników 
Child: Siusiu; Parent: Chce mi się silu
Child: Dzidzia; Parent: Małe dziecko
Child: Pupa; Parent: Pupa
Child: Ciocia; Parent: Ciocia 
Child: Pupa; Parent: Pupa
"Child: Nowa; Parent: Jak daliśmy jej książkę to powiedział : nie , nowa - chcąc inna "
Child: Jajo; Parent: Jajo
Child: Choddź; Parent: Choddź
Child: Czapla; Parent: Czapla
Child: Jeść; Parent: Chcę jeść 
Child: Bo; Parent: Buty
Child: Halo; Parent: Gdy jej się da telefon
Child: Dom; Parent: Dom
Child: Dwa; Parent: Jako drugi przedmiot 
Child: Dużo; Parent: Powtarza za nami
Child: Czapa; Parent: Czapka
Child: Dom; Parent: Dom ( mieszkanie w ktorym mieszkamy)
Child: Suszi; Parent: Sushi
Child: Ześ; Parent: Zejść
Child: Tam chce ; Parent: Wskazuje gdzie chce ja nieść 
Child: Zejść ; Parent: Jak chce zejść z łóżka lub gdy ja nosimy i chce na ziemie 
Child: Duży; Parent: Opisała tak duży ciężki kamień z ktorym miala problemy by go podniesc 
Child: Lis; Parent: Lis
Child: Dzien; Parent: Dzień 
Child: Pii pi; Parent: Myszka
Child: Czymam; Parent: Trzymam
Child: Dodurt; Parent: Jogurt
Child: Czymam; Parent: Trzymam
Child: Idziemy; Parent: Idziemy 
Child: R(y)ś; Parent: Ryś kot który mieszka z pola
Child: Sionć; Parent: Siąddź- rozkazujący tryb
Child: Szop; Parent: Szop - zabawka 
Child: Diobacz; Parent: Zobacz - jak chce coś pokazać 
Child: Moje; Parent: Jak coś jest jej i  nie chce się dzielić 
Child: pies; Parent: pies
Child: łała; Parent: dziadek Mirek
Child: buty; Parent: buty
Child: Cisza; Parent: Cisza
Child: Cieszę sie; Parent: Cieszę się
Child: Mimi; Parent: Dziadek Mirek
Child: Baba; Parent: Babcia
Child: Kaka; Parent: Ciocia Kasia
Child: Papa; Parent: Papryka
Child: mama; Parent: mama
Child: Chce; Parent: Chce
Child: Kasia; Parent: Kasia
Child: Czesc; Parent: Cześć 
Child: Pajo; Parent: Pająk
Child: Pupa; Parent: Pupa
Child: Tata; Parent: Tata
Child: Dziadzia ; Parent: Dziadek
Child: Kamkam; Parent: Kakao
Child: Kakao; Parent: Kakao
Child: Kupa; Parent: Kupa
Child: Ida; Parent: Ida 
Child: Aga; Parent: Aga
Child: Mumia; Parent: Mumia
Child: Kakao; Parent: Kakao
Child: Kokoś; Parent: Kokos
Child: Dom; Parent: Dom
Child: Ida; Parent: Ida
Child: Mimi; Parent: Dziadek Mirek
Child: Kasia; Parent: Kasia ciocia
Child: Basia; Parent: Basia kuzynka
Child: bidet; Parent: ?
Child: bidon; Parent: bidon
Child: mina; Parent: mina
Child: buzia; Parent: buzia
"Child: burza; Parent: burza, grzmot"
"Child: burza; Parent: burza, grzmot"
Child: bój; Parent: boje się 
Child: cześ; Parent: cześć 
Child: duża; Parent: duża 
Child: Maja; Parent: Maria
Child: Huja; Parent: Hurra
Child: Koc; Parent: Koc
Child: Kokon; Parent: Kokon 
Child: Buda; Parent: Budować 
Child: Koń; Parent: Koń
Child: Kot; Parent: Kot
Child: Miś; Parent: Miś
Child: Trzy; Parent: Trzy (liczba)
Child: Szal; Parent: szalik
Child: Pas; Parent: Pasek do spodni 
Child: Pić; Parent: Chcę pić
Child: Mysz; Parent: Mysz
Child: Patrzysz; Parent: Patrzysz
Child: Kuka; Parent: Kupa
Child: Pala; Parent: Plama
Child: Bajan; Parent: Banan
Child: Buła; Parent: Buła
Child: Sera; Parent: Serek
Child: Fuj; Parent: Fuj! 
Child: Gil; Parent: Gil z nosa
Child: Siusiu; Parent: Siusiu
Child: Mamuś; Parent: Mamuś
Child: Tatuś; Parent: Tatuś
Child: Jadzia; Parent: Jadzia Pętelka
Child: Hauhau; Parent: Pies
"Child: Pipi; Parent: Myszka, kurczaczek"
"Child: Pipi; Parent: Myszka, kurczaczek"
Child: Poczita; Parent: Poczytać mi
Child: Ziu; Parent: Zjeżdżalnia 
Child: Pibi; Parent: Samochód
Child: Eoeoeo; Parent: Karetka 
Child: Mniam; Parent: Mniam
"Child: Pucio; Parent: Pucio, książka "
Child: Muu; Parent: Krowa 
Child: Kokoko; Parent: Kura
Child: Czuczu; Parent: Pociąg
Child: Oko; Parent: oko
Child: Nos; Parent: nos
Child: Łuuusz; Parent: Samolot
Child: Uga; Parent: Kuba
Child: Buda psa; Parent: Buda psa
Child: Kap kap; Parent: Pada deszcz/śnieg
Child: Kap kap; Parent: Pada deszcz/śnieg
Child: Budyń; Parent: Budyń
Child: Hop; Parent: Hop
Child: Kumkum; Parent: Żaba
Child: Tak; Parent: Tak
Child: Nie; Parent: Nie
Child: Cii; Parent: Cicho!
Child: Bobo; Parent: Bobas
Child: Bulbul; Parent: Zupa w garnku
Child: Huhu; Parent: Sowa 
Child: Kuku; Parent: Kukułka
Child: Szur szur; Parent: Rysować
Child: Saja; Parent: Sara
"Child: Dada; Parent: Wózek, wycieczka "
Child: Ajajaj; Parent: Pajęczyna
Child: Misia; Parent: Misia
Child: Kasza; Parent: Kasza
Child: Jajo; Parent: Jajko
Child: Dach; Parent: Dach
Child: Łi o łi o; Parent: Policja
Child: Fufa; Parent: Jeż
Child: Lulaj; Parent: Lulaj
Child: Bujubuju; Parent: Bujać się/huśtawka
Child: Kickic; Parent: Zając/ królik
Child: Kompkomp; Parent: Kąpiel
Child: Kokop; Parent: Kompot
Child: Katka; Parent: Kaczka
Child: Już; Parent: Już! 
Child: Dziś; Parent: Dziś
Child: Sos; Parent: Sok
Child: Tuatua; Parent: Taniec
Child: Bobobo; Parent: Borówki
Child: Auau; Parent: Boli
Child: Łełe; Parent: Płakać
Child: Myje; Parent: Myć się
Child: Buch; Parent: Brzuch
Child: Siusia; Parent: Siusiak
Child: Fujfuj; Parent: Włos leżący na czymkolwiek
Child: Puf; Parent: Fryzura
Child: Molena; Parent: Marlena
Child: Ajo; Parent: Amen
Child: Ihiha; Parent: Koń
Child: Ioio; Parent: Osioł
Child: Lis; Parent: Lis
Child: Sara; Parent: Sarna
Child: Dzicz; Parent: Dzik
Child: Auuu; Parent: Wilk
Child: Łiłi; Parent: świnka
Child: Zium; Parent: Zjeżdżalnia 
Child: Uchuch; Parent: Ciągnąć
Child: Niania; Parent: Niania
Child: Ciocia; Parent: Ciocia
Child: Babuś; Parent: Babunia
Child: Myjumyju; Parent: Myć się
Child: Lulu; Parent: Spać
Child: Plum; Parent: Rybka
Child: Bumbum; Parent: Uderzać
Child: Kusia; Parent: Kuchnia
Child: Apsik; Parent: Kichać
Child: Zzzzz; Parent: Komar
Child: Mol; Parent: Mol
Child: Turtur; Parent: Traktor
Child: Klekle; Parent: Bocian
Child: Bzzzz; Parent: Pszczoła 
Child: Ssssss; Parent: Wąż
Child: Uaua; Parent: Małpka
Child: Bambam; Parent: Bęben 
Child: Aja aja; Parent: Głaskać
Child: Pusia; Parent: Puszka
Child: Fala szuu; Parent: Fala
Child: Kawa; Parent: Kawa
Child: Gili gili; Parent: Łaskotki
Child: Pan; Parent: Człowiek 
Child: Halo; Parent: Halo
Child: Hej; Parent: Hej
Child: Szyja; Parent: Szyja
Child: Morze; Parent: Morze
Child: Muza; Parent: Muzyka
Child: Szu szu; Parent: Zamiatać
Child: Sushi; Parent: Sushi
Child: Ryż; Parent: Ryż
Child: Buzi; Parent: Buziak
Child: Stum; Parent: Stół
Child: Balol; Parent: Balon 
Child: Poczita; Parent: Poczytaj
Child: Pajo; Parent: Pająk
Child: Wstań; Parent: Wstań
Child: Szuszi; Parent: Sushi 
Child: Puć tam; Parent: Pójddź tam
Child: Tu; Parent: Tu
Child: Tam; Parent: Tam
Child: wszyscy; Parent: wszyscy 
Child: Bluza; Parent: Bluza 
Child: Kita; Parent: Kitka
Child: Mamusiu; Parent: Mamusiu
Child: mniam; Parent: jedzenie
Child: Fśi; Parent: śpi
Child: po; Parent: Pomidor
Child: Bam; Parent: Piłka
Child: Brum; Parent: Samochód
Child: Hau; Parent: Pies
Child: ka; Parent: Tak
Child: Kap kap; Parent: deszcz
Child: Koko; Parent: imię psa
Child: Mi; Parent: Miś
Child: Miau; Parent: Kot
Child: Pi pi; Parent: Ptak
"Child: Ryk/charczenie; Parent: Lew, nieddźwieddź - zwierzęta, które ryczą"
"Child: Ryk/charczenie; Parent: Lew, nieddźwieddź - zwierzęta, które ryczą"
Child: Siesień; Parent: Jesień
Child: a-ha; Parent: Koń
Child: Ba; Parent: przewrócił się
Child: Bam; Parent: Bęben
Child: bzz; Parent: Mucha/pszczoła
Child: bzz; Parent: Mucha/pszczoła
Child: Cia; Parent: Nożyczki
Child: Ciu ciu; Parent: Pociąg
Child: Dzyń dzyń; Parent: Dzwonek
Child: iś; Parent: Liść
Child: Kic kic; Parent: Zając
Child: ko ko; Parent: Kura
Child: kopka; Parent: Koparka
Child: Kuj; Parent: Kogut
Child: Mmmmm; Parent: Krowa
Child: Mniam; Parent: jedzenie
Child: Nie; Parent: Nie
Child: Miś; Parent: Miś
Child: Baban; Parent: Banan
Child: Dom; Parent: Dom
Child: Bu; Parent: autobus
Child: Ce; Parent: Cześć
Child: dydydy; Parent: wózek
Child: dzieci; Parent: dzieci
Child: dzien; Parent: Dziękuję
Child: Gaga; Parent: Lilka (imię siostry)
Child: go go; Parent: Gorące
Child: ijo; Parent: Straż pożarna
Child: is; Parent: Lis
Child: Kapka; Parent: Czapka
Child: mumu; Parent: pomóż
Child: papamla; Parent: Lampa
Child: siusiu; Parent: siku/nocnik
Child: siusiu; Parent: siku/nocnik
Child: pi; Parent: Picie
Child: jedzie; Parent: jedzie
Child: Niania; Parent: Niania
Child: kaka; Parent: kawa
Child: ko; Parent: koniec
Child: nic; Parent: nic
Child: paapa; Parent: herbata
Child: sień; Parent: wstań
Child: siuń; Parent: słoń
Child: na; Parent: nasz
Child: nu; Parent: nóż
Child: ko; Parent: kot
Child: abuo; Parent: jabłko
Child: Mama; Parent: Mama
Child: Tata; Parent: Tata
Child: Baba; Parent: Babcia
Child: Dziadzia; Parent: Dziadek
Child: Ciocia; Parent: Ciocia
Child: Piotuś; Parent: Piotruś
Child: Poli; Parent: Paulina
Child: Kasia; Parent: Kasia
Child: Ami; Parent: Ami (Amelka)
Child: Kua; Parent: Kuba
"Child: Ania; Parent: Ania, Hania"
Child: Pam; Parent: Pan
Child: Pami; Parent: Pani
Child: Uszy; Parent: Uszy
Child: Oczi; Parent: Oczy
Child: Nos; Parent: Nos
Child: Buzia; Parent: Buzia
Child: Pupa; Parent: Pupa
Child: Sisi; Parent: Siusiu
"Child: Am; Parent: Jeść, głodny "
"Child: Am; Parent: Jeść, głodny "
"Child: Buju buju; Parent: Huśtawka, bujać się"
Child: Kocki; Parent: Klocki
Child: Gasić; Parent: Gasić
Child: Posze; Parent: Proszę
Child: Cześć; Parent: Cześć
Child: Pa pa; Parent: Pa pa
Child: Siema; Parent: Cześć
Child: Bamam; Parent: Banan
Child: Ananas; Parent: Ananas
Child: Patki; Parent: Płatki
Child: Kuki; Parent: Kulki
Child: Pisie; Parent: Picie
Child: Tu; Parent: Tu
Child: Siam; Parent: Sam
Child: Ta; Parent: Tak
Child: Nie; Parent: Nie
Child: Puciu; Parent: Pucio
Child: Basia; Parent: Książka basia
Child: Kicia; Parent: Kot
"Child: A a; Parent: Hau hau, pies"
Child: Buza; Parent: Bluza
Child: Buty; Parent: Buty
Child: Io io io; Parent: Straż pożarna
Child: Iha; Parent: Koń
Child: Muu; Parent: Krowa
Child: Pepa; Parent: świnka pepa
Child: Kin; Parent: Quin - zygzak
"Child: Ka ka; Parent: Kra kra, wrona, ptak"
Child: Guły; Parent: Góry
Child: Dom; Parent: Dom
Child: Ko ko; Parent: Smoczek
Child: Zdziś; Parent: Miś
Child: Kulik; Parent: Królik
Child: Baon; Parent: Balon
Child: Auta; Parent: Auto
Child: Brum; Parent: Auto
Child: Autodzus; Parent: Autobus
Child: Dzik; Parent: Dzik
Child: Gru gru; Parent: Gołąb
"Child: Hrr; Parent: Chrum, świnka"
