,form,meaning,KEY-MEANING
3006,Opa,"Do góry, mówione przy podnoszeniu",UP
3007,A du! ,Na dół,DOWNSTAIRS
3008,Pi pi,Piłka,BALL
3009,Aba,Arbuz,WATERMELON
3010,Auto,Samochód,CAR
3011,Dzyń dzyń,Tramwaj,TRAM
3012,Mama,Mama,MOM
3013,Mia,"Miał, kotek",CAT
3014,Mu,Krowa,COW
3015,Nie,Nie,NO
3016,Pi pi,Myszka,MOUSE
3017,Kopu kopu,"Kąpu kąpu, kąpiel ",BATH
3018,Kieki,Kredki,CRAYONS
3019,"Ał ał, ał","Ała, boli",HURTS
3020,Kopu kopu,Kąpiel (mówimy kąpu kąpu) ,BATH
3021,Oko,Oko,EYE
3022,Tu tu tu,"Słoń, ddźwięk wydawany przez słonia ",ELEPHANT
3023,Ciato,Ciasto,CAKE
3024,La,Las,FOREST
3025,Alo,"Na lody, lody",ICE-CREAM
3026,Alo,"Na lody, lody",ICE-CREAM
3027,Kaka,Kasztan,CHESTNUT
3028,Kaka,Kasztan,CHESTNUT
3029,Li,Liść,LEAF
3030,Li,Liść,LEAF
3031,Sosia,"Zosia, jej imię ",SELF
3032,Sosia,"Zosia, jej imię ",SELF
3033,Bebu,"But, buty",SHOES
3034,Kaka,Katar,RUNNY-NOSE
3035,Mi,Miś,TEDDY-BEAR
3036,Pipa,Piłka,BALL
3037,Tato,Traktor,TRACTOR
3038,Dzi,Dzik,BOAR
3039,Tu tu tu,Trąbienie samochodu,HONK
3040,Bubu,Bóbr ,BEAVER
3041,Kła kła,"Kaczka, kwakanie",DUCK
3042,Le,źle ,BAD
3043,Sisia,Szyszka,CONE
3044,Mam,Mam,HAVE
3045,Sel,Ser,CHEESE
3046,Didzia,Dynia,PUMPKIN
3047,Alal,Alarm,ALARM
3048,Jaja,"Jajko, jajka",EGG
3049,Dem,Dżem,JAM
3050,Ani na,Ani jednego,NOT-ONE
3051,Niuń,Nóż ,KNIFE
3052,Gaga,Garaż,GARAGE
3053,Obia,Obiad,DINNER
3054,Gago,Gofry,WAFFLE
3055,Inne,"Inny, inna, inne",OTHER
3056,Kapu,Mokra,WET
3057,Lula,Rura,PIPE
3058,Nunu,Danusia (babcia) ,GRANDMA
3059,Opa,"Na dół, usiąddź ",DOWN
3060,Ucha,Sucha ,DRY
3061,Ucha,Mucha,FLY
3062,Opa,"Do góry, mówione przy podnoszeniu, usiąddź",SIT
3063,Opa,"Do góry, mówione przy podnoszeniu, usiąddź",UP
3064,"Ał ał, ał, ała","Ała, boli",HURTS
3065,Mama,Mama,MOM
3066,Mami,Mama,MOM
3067,"Dzyniu, dzyniu",Tramwaj,TRAM
3068,Babia,Banan,BANANA
3069,Papia,Placek,PANCAKE
3070,Papia,"światło, lampa, latarnia ",LAMP
3071,Papia,"światło, lampa, latarnia ",LAMP-POST
3072,Papia,"światło, lampa, latarnia ",LIGHT
3073,Agon,Ogon,TAIL
3074,Blubla,Wróble,SPARROW
3075,Zia Zosia,Moja Zosia,PERSON
3076,I-a,Oliwka,PERSON
3077,Sisia,śliniak,BIB
3078,Bibla,"Bilet, bilety",TICKET
3079,Blabla,"Balon z koszem, latajacy",AIR-BALLOON
3080,Giga,Księżyc,MOON
3081,Cita,Czyta,READ
3082,Guga,Kogut,COCK
3083,Ko,Kość,BONE
3084,Mió,Miód,HONEY
3085,Ul,Ul,HIVE
3086,Gua,Papuga,PARROT
3087,Tup tup tup,"Chodzić, biegać ",RUNNING
3088,Tup tup tup,"Chodzić, biegać ",WALKING
3089,Gła,Mgła,FOG
3090,Okuła,Okulary,GLASSES
3091,Obju,Obrus,TABLECLOTH
3092,Hania,"Hania, imię babci ",GRANDMA
3093,Hop,"Skakać, podnosić kogoś do góry za ręce (jeden rodzic za jedną rękę, drugi rodzic za drugą)",JUMP
3094,Nunia,"Nogą, nóżka ",LEG
3095,Siama,Sama,BY-MYSELF
3096,Halo,"Halo, udając, że do kogoś dzwoni",HELLO
3097,Gosia,"Gosia, imię mamy",MOM
3098,Kapi,"Kacper, imię taty",DAD
3099,Kem,Krem,CREAM
3100,Miś,Miś,TEDDY-BEAR
3101,Nóś,Nóż,KNIFE
3102,Okuła,Okulary,GLASSES
3103,Osioł,Osioł ,DONKEY
3104,ślija,śliniak,BIB
3105,Gaga,"Grzegorz, imię dziadków ",GRANDPA
3106,Kika,"Klikać, naciskać przyciski na tel lub klawiaturze ",CLICK
3107,Noś,Nos,NOSE
3108,Tulu tulu,"Przytulać, tulić",HUG
3109,Tany tany,Tańczyć,DANCE
3110,La la la,śpiewać ,SING
3111,Jesz,Jeż,HEDGEHOG
3112,Hipo,Hipopotam ,HIPPO
3113,Ciśte,Czyste,CLEAN
3114,Kaku,Kaczor,DUCK
3115,Dabu dabu,Badać ,EXAMINE
3116,Tola,Tory,TRACK
3117,Siaś,Staś,PERSON
3118,Toła,Czoło,FOREHEAD
3119,Siuła,Suwak,ZIP
3120,Uga,Ugrydźć ,BITE
3121,Kap,Krab,CRAB
3122,Lama,Lama,LLAMA
3123,Siali,Szalik,SCARF
3124,Kiwi,Kiwi,KIWI
3125,Plama,Piana,FOAM
3126,Miamia,Myć się ,WASHING
3127,"Gabka, wcześniej gabu gabu",Gąbka,SPONGE
3128,Plasia,Plansza,BOARD
3129,Samomo,Samolot,PLANE
3130,Kum kum,Żaba,FROG
3131,Kapki,Czapka,CAP
3132,Goła,Głowa,HEAD
3133,Toła,Czoło,FOREHEAD
3134,Kosiu bia,Kosz na odpady bio,RECYCLE-BIN
3135,Abjam,Ubierać się ,GET-DRESSED
3136,Juś,Już,NOW
3137,Psi,śpi,SLEEPING
3138,Dzi,Drzwi,DOOR
3139,Konki,Kończy ,END 
3140,Akej,"Ok, kiedy uważa już wystarczy, np. już można przestać się przytulać, coś się upiekło ",OK
3141,Tas,Czas na zrobienie czegoś ,TIME
3142,Bajka,"Bajka, przy usypianiu żeby nie śpiewać tylko odpowiedzieć ",TALE
3143,Koni,Koniec,END 
3144,Chucha,Słucha ,LISTEN
3145,Papa,Pestka,SEED
3146,Sinka,świnka,PIG
3147,Sija,Szyja,NECK
3148,Jóf,Zółw,TURTLE
3149,Ablu,Obrót ,TURN-AROUND
3150,Afa afa,Żyrafa,GIRAFFE
3151,Leła,Lewa,LEFT
3152,Plała,Prawa ,RIGHT
3153,Pamóś,Pomóż,HELP
3154,Małka,Mąka,FLOUR
3155,Kiasia,Kwiatek,FLOWER
3156,Pilaf,Pilot,PILOT/REMOTE
3157,Taleś,Talerz ,PLATE
3158,Sinka,świnka,PIG
3159,Chum chum,Chrum chrum,PIGGY
3160,Koni,Konik,HORSE
3161,Kława,Krowa,COW
3162,Kułka,Kurka,HEN
3163,Bluśka,Bluzka,SWEATSHIRT
3164,Pajaś,"Pajac, ubranie dla dziecka ",ROMPER
3165,Chosiu,Choddź tu,COME
3166,"Sanki, sianki",Sanki,SLEIGH
3167,"Choli, chola","Chory, chora",SICK
3168,Mala,Mała,SMALL
3169,Lowa,Zdrowa,HEALTHY
3170,Gingin,Pingwin,PENGUIN
3171,Gipś,Gips,CAST
3172,Galika,Rogalik,KIFLI
3173,Kami,Karmi,FEED
3174,Plawi,Poprawi,IMPROVE
3175,Piła,Piła,SAW
3176,Apala,Aparat,CAMERA
3177,Dudi dani,Drugie danie,SECOND-DISH
3178,Juja,Żólte,YELLOW
3179,Juwa,Wujek,UNCLE
3180,Laliśka,Walizka,SUITCASE
3181,Siół,Stół,TABLE
3182,Małka,Młotek,HAMMER
3183,Giś,Grydź,BITE
3184,Siupal,Super,SUPER
3185,Psiepś,Pieprz,PEPPER
3186,Pinka,Spinka,HAIR-CLIP
3187,Zima,Zima,WINTER
3188,Piaśki,Ptaszki,BIRD
3189,Lasiaj,Wracaj,COME-BACK
3190,Galetka,Galaretka,JELLY
3191,Obok,Obok,NEAR
3192,Papulka,Parówka,SAUSAGE
3193,Lesi,Naleśniki,PANCAKE
3194,Chuśka,Chusteczka higieniczna,TISSUE
3195,"Siulek, siulka","Szczurek, szczurka",RAT
3196,Paśka,Pasta do zębów,TOOTH-PASTE
3197,Kokijka,Krokodyl,CROCODILE
3198,Palasiola,Parasol,UMBRELLA
3199,Blonka,Biedronka,LADYBIRD
3200,Siapelka,Skarpetka,SOCK
3201,Uuś,Ułóż (np. puzzle) ,ARRANGE
3202,Balanka,Baranek,LAMB
3203,Boi,Boi się,SCARED
3204,Pjółka,Pszczółka,BEE
3205,Kopalka,Koparka,EXCAVATOR
3206,Pempuśka,Pępek,NAVEL
3207,Paluśka,Pieluszka,DIAPER
3208,Lawaka,Laweta,CAR-CARRIER
3209,Psu,Zepsute,BROKEN
3210,Siapelki,Skarpetki,SOCK
3211,Paśka,Pasztet ,PATE
3212,Bieśki,Niebieski,BLUE
3213,Siupel siaka,Skoda superb,CAR
3214,Pipka,Pizza,PIZZA
3215,Odjefa,Odjechała,DRIVE-AWAY
3216,Lak,Rak,CRAWFISH
3217,Lalófka,Wiewiórka ,SQUIRREL
3218,Lamagaj,"Linomag, krem do pupy",MEDICINE
3219,Pampingu,Parkingu,PARKING-LOT
3220,Aduafa,Odjechał/a,DRIVE-AWAY
3221,Lonka,Winogronka,GRAPES
3222,Jajenka,Łazienka,BATHROOM
3223,Nik,Nic,NOTHING 
3224,Papuśka,Poduszka,PILLOW
3225,Djefko,Drzewko,TREE
3226,Malefka,Marchewka,CARROT
3227,Gajeka,Gazeta,NEWSPAPER
3228,Biega,Biega,RUNNING
3229,Jaba,Żaba,FROG
3230,Woda,Woda,WATER
3231,Luwalinka,Żurawinka,CRANBERRY
3232,"Blablanot, blablanoc",Dobranoc,GOOD-NIGHT
3233,Gziebeń,Grzebień,COMB
3234,"Siotećka, siotka","Szczoteczka, szczotka",BRUSH
3235,"Siotećka, siotka","Szczoteczka, szczotka",TOOTHBRUSH
3236,Kolelka,"Gondola, kolejka na wyciągu narciarskim ",CABLE-CAR
3237,Ginginek,Pingwinek,PENGUIN
3238,Hoki,Foki,SEAL
3239,Hinalacja,Inhalacja,INHALATION
3240,śkalpetka,Skarpetka,SOCK
3241,Ta,Tak,YES
3242,Am,Jeść ,EAT
3243,Ania,Hania,PERSON
3244,Auau,Pies ,DOG
3245,Bam,Upadek ,BAM
3246,Ej,Hej,HI
3247,Kotukotu,Kot,CAT
3248,Mama,Mama/tata,DAD
3249,Mama,Mama/tata,MOM
3250,Nie,Nie,NO
3251,Papa,Papa,BYE
3252,Sześć,Cześć ,HI
3253,Woa,Woda,WATER
3254,Y,Wszystko pozostałe ,ALL
3255,Baba,Babka,SANDCASTLE
3256,Bibi ,?,
3257,Ciu ciu,Pociąg,TRAIN
3258,Gili gili,Gili gili / łaskotanie,TICKLING
3259,Baba,Babka z piasku,SANDCASTLE
3260,Krlólik,Królik ,RABBIT
3261,Pić ,Picie,DRINK
3262,Piś,Picie,DRINK
3263,Siu,Robić siusiu,PEE
3264,Ziu,Zjazd na zjeżdżalni ,SLIDE
3265,Cie,Chcę ,WANT
3266,Psi psi,Siku,PEE
3267,Am am,Jeść ,EAT
3268,Hop,Hop/skok,HOP
3269,Goomp,Gołąb ,DOVE
3270,Tykaj,Tutaj,HERE
3271,Prututu,Ddźwięk trąbki ,TRUMPET
3272,Kej,Okej,OK
3273,Aaa,Kołysanka ,LULLABY
3274,Io,Karetka,AMBULANCE
3275,Ziu,Sukienka,DRESS
3276,Ijuł,Mycie zębów ,BRUSHING-TEETH
3277,Buju,Bujać się na huśtawce ,SWING
3278,Grru,Ddźwięk gołębia/gołąb ,PIDGEON
3279,Hau,Szczekanie psa/pies,DOG
3280,Kicikici,Kot,CAT
3281,Ziu,Taniec,DANCE
3282,Chlap chlap,Woda,WATER
3283,Kuku,A kuku,PEEKABOO
3284,Choć,Choddź,COME
3285,Tej,Tutaj ,HERE
3286,Nu nu,Nie wolno ,MUSTNT
3287,Bib,Bing,CHARACTER
3288,O nie,O nie,EXCLAMATION
3289,Tak,Tak,YES
3290,Tata,Tata,DAD
3291,Mija,"Moje, dla mnie",MY
3292,Muj,Moje,MY
3293,Mi?,Dla mnie?,ME
3294,Wa,Dwa,TWO
3295,Szeeść,"Sześć, liczenie ",SIX
3296,Kupka,"Robienie kupy, kupa",POOP
3297,Ajć,Zadać ból,PAIN
3298,Kukaj,Tutaj ,HERE
3299,Bajć,Upaść,BAM
3300,Ja,Ja,SELF
3301,Amen,Amen,AMEN
3302,Daj mi,Zgodnie z brzmieniem,GIVE
3303,Mama,Mama,MOM
3304,Nie,Nie jako nie,NO
3305,Miamia,Kot,CAT
3306,Uuuu,Sowa,OWL
3307,Brumbrum,Samochód pojazd,CAR
3308,Baba,Babcia,GRANDMA
3309,Dada,Dziadek,GRANDPA
3310,Ten,Ten,THIS
3311,Amam,Gdy jest glodna,HUNGRY
3312,Bam,"Gdy się wywróci, lub gdy coś spadnie",BAM
3313,Tata,Tata,DAD
3314,Ciuch ciuch,Pociag,TRAIN
3315,Tak,Tak,YES
3316,Nie ma,Nie ma,GONE
3317,Hop hop,Mówi to jak próbuje skakać uginając kolana,JUMP
3318,Tuptup,Jak chce tuptac,GO
3319,To,To,THIS
3320,Luba,Imię niani,PERSON
3321,Żaba,Żaba,FROG
3322,Baje,Bajka na telefonie,CARTOON
3323,Choddź,Przywołuje za sobą domowników ,COME
3324,Siusiu,Chce mi się silu,PEE
3325,Dzidzia,Małe dziecko,BABY
3326,Pupa,Pupa,BOTTOM
3327,Ciocia,Ciocia ,AUNT
3328,Pupa,Pupa,BOTTOM
3329,Nowa,"Jak daliśmy jej książkę to powiedział : nie , nowa - chcąc inna ",NEW
3330,Jajo,Jajo,EGG
3331,Choddź,Choddź,COME
3332,Czapla,Czapla,HERON
3333,Jeść,Chcę jeść ,WANT-FOOD
3334,Bo,Buty,SHOES
3335,Halo,Gdy jej się da telefon,HELLO
3336,Dom,Dom,HOME
3337,Dwa,Jako drugi przedmiot ,TWO
3338,Dużo,Powtarza za nami,A-LOT
3339,Czapa,Czapka,CAP
3340,Dom,Dom ( mieszkanie w ktorym mieszkamy),HOME
3341,Suszi,Sushi,SUSHI
3342,Ześ,Zejść,EAT
3343,Tam chce ,Wskazuje gdzie chce ja nieść ,THERE
3344,Zejść ,Jak chce zejść z łóżka lub gdy ja nosimy i chce na ziemie ,DOWN
3345,Duży,Opisała tak duży ciężki kamień z ktorym miala problemy by go podniesc ,BIG
3346,Lis,Lis,FOX
3347,Dzien,Dzień ,DAY
3348,Pii pi,Myszka,MOUSE
3349,Czymam,Trzymam,HOLDING
3350,Dodurt,Jogurt,YOGHURT
3351,Czymam,Trzymam,HOLDING
3352,Idziemy,Idziemy ,GO
3353,R(y)ś,Ryś kot który mieszka z pola,PET
3354,Sionć,Siąddź- rozkazujący tryb,SIT
3355,Szop,Szop - zabawka ,RACOON
3356,Diobacz,Zobacz - jak chce coś pokazać ,LOOK
3357,Moje,Jak coś jest jej i  nie chce się dzielić ,MINE
3358,pies,pies,DOG
3359,łała,dziadek Mirek,GRANDPA
3360,buty,buty,SHOES
3361,Cisza,Cisza,SILENCE
3362,Cieszę sie,Cieszę się,HAPPY
3363,Mimi,Dziadek Mirek,GRANDPA
3364,Baba,Babcia,GRANDMA
3365,Kaka,Ciocia Kasia,AUNT
3366,Papa,Papryka,BELL-PEPPER
3367,mama,mama,MOM
3368,Chce,Chce,WANT
3369,Kasia,Kasia,PERSON
3370,Czesc,Cześć ,HI
3371,Pajo,Pająk,SPIDER
3372,Pupa,Pupa,BOTTOM
3373,Tata,Tata,DAD
3374,Dziadzia ,Dziadek,GRANDPA
3375,Kamkam,Kakao,COCOA
3376,Kakao,Kakao,COCOA
3377,Kupa,Kupa,POOP
3378,Ida,Ida ,PERSON
3379,Aga,Aga,PERSON
3380,Mumia,Mumia,MOM
3381,Kakao,Kakao,COCOA
3382,Kokoś,Kokos,COCONUT
3383,Dom,Dom,HOME
3384,Ida,Ida,PERSON
3385,Mimi,Dziadek Mirek,GRANDPA
3386,Kasia,Kasia ciocia,PERSON
3387,Basia,Basia kuzynka,COUSIN
3388,bidet,?,
3389,bidon,bidon,WATER-BOTTLE
3390,mina,mina,FACE
3391,buzia,buzia,FACE
3392,burza,"burza, grzmot",STORM
3393,burza,"burza, grzmot",THUNDER
3394,bój,boje się ,SCARED
3395,cześ,cześć ,HI
3396,duża,duża ,BIG
3397,Maja,Maria,PERSON
3398,Huja,Hurra,HURRAY
3399,Koc,Koc,BLANKET
3400,Kokon,Kokon ,COCOON
3401,Buda,Budować ,BUILD
3402,Koń,Koń,HORSE
3403,Kot,Kot,CAT
3404,Miś,Miś,TEDDY-BEAR
3405,Trzy,Trzy (liczba),THREE
3406,Szal,szalik,SCARF
3407,Pas,Pasek do spodni ,BELT
3408,Pić,Chcę pić,DRINK
3409,Mysz,Mysz,MOUSE
3410,Patrzysz,Patrzysz,LOOK
3411,Kuka,Kupa,POOP
3412,Pala,Plama,STAIN
3413,Bajan,Banan,BANANA
3414,Buła,Buła,BUN
3415,Sera,Serek,YOGHURT
3416,Fuj,Fuj! ,DISGUSTING
3417,Gil,Gil z nosa,SNOT
3418,Siusiu,Siusiu,PEE
3419,Mamuś,Mamuś,MOM
3420,Tatuś,Tatuś,DAD
3421,Jadzia,Jadzia Pętelka,CHARACTER
3422,Hauhau,Pies,DOG
3423,Pipi,"Myszka, kurczaczek",CHICKEN
3424,Pipi,"Myszka, kurczaczek",MOUSE
3425,Poczita,Poczytać mi,READ
3426,Ziu,Zjeżdżalnia ,SLIDE
3427,Pibi,Samochód,CAR
3428,Eoeoeo,Karetka ,AMBULANCE
3429,Mniam,Mniam,YUMMY
3430,Pucio,"Pucio, książka ",CHARACTER
3431,Muu,Krowa ,COW
3432,Kokoko,Kura,HEN
3433,Czuczu,Pociąg,TRAIN
3434,Oko,oko,EYE
3435,Nos,nos,NOSE
3436,Łuuusz,Samolot,PLANE
3437,Uga,Kuba,PERSON
3438,Buda psa,Buda psa,DOGHOUSE
3439,Kap kap,Pada deszcz/śnieg,RAIN
3440,Kap kap,Pada deszcz/śnieg,SNOW
3441,Budyń,Budyń,PUDDING
3442,Hop,Hop,HOP
3443,Kumkum,Żaba,FROG
3444,Tak,Tak,YES
3445,Nie,Nie,NO
3446,Cii,Cicho!,QUIET
3447,Bobo,Bobas,BABY
3448,Bulbul,Zupa w garnku,SOUP
3449,Huhu,Sowa ,OWL
3450,Kuku,Kukułka,CUCKOO
3451,Szur szur,Rysować,DRAW
3452,Saja,Sara,PERSON
3453,Dada,"Wózek, wycieczka ",STROLLER
3454,Ajajaj,Pajęczyna,SPIDER-WEB
3455,Misia,Misia,PERSON
3456,Kasza,Kasza,GROATS
3457,Jajo,Jajko,EGG
3458,Dach,Dach,ROOF
3459,Łi o łi o,Policja,POLICE
3460,Fufa,Jeż,HEDGEHOG
3461,Lulaj,Lulaj,PUT-TO-SLEEP
3462,Bujubuju,Bujać się/huśtawka,SWING
3463,Kickic,Zając/ królik,RABBIT
3464,Kompkomp,Kąpiel,BATH
3465,Kokop,Kompot,COMPOTE
3466,Katka,Kaczka,DUCK
3467,Już,Już! ,NOW
3468,Dziś,Dziś,TODAY
3469,Sos,Sok,JUICE
3470,Tuatua,Taniec,DANCE
3471,Bobobo,Borówki,BLUEBERRY
3472,Auau,Boli,HURTS
3473,Łełe,Płakać,CRY
3474,Myje,Myć się,WASHING
3475,Buch,Brzuch,BELLY
3476,Siusia,Siusiak,PENIS
3477,Fujfuj,Włos leżący na czymkolwiek,DISGUSTING
3478,Puf,Fryzura,HAIRSTYLE
3479,Molena,Marlena,PERSON
3480,Ajo,Amen,AMEN
3481,Ihiha,Koń,HORSE
3482,Ioio,Osioł,DONKEY
3483,Lis,Lis,FOX
3484,Sara,Sarna,DEER
3485,Dzicz,Dzik,BOAR
3486,Auuu,Wilk,WOLF
3487,Łiłi,świnka,PIG
3488,Zium,Zjeżdżalnia ,SLIDE
3489,Uchuch,Ciągnąć,PULL
3490,Niania,Niania,NANNY
3491,Ciocia,Ciocia,AUNT
3492,Babuś,Babunia,GRANDMA
3493,Myjumyju,Myć się,WASHING
3494,Lulu,Spać,SLEEP
3495,Plum,Rybka,FISH
3496,Bumbum,Uderzać,HIT
3497,Kusia,Kuchnia,KITCHEN
3498,Apsik,Kichać,SNEEZE
3499,Zzzzz,Komar,MOSQUITO
3500,Mol,Mol,MOTH
3501,Turtur,Traktor,TRACTOR
3502,Klekle,Bocian,STORK
3503,Bzzzz,Pszczoła ,BEE
3504,Ssssss,Wąż,SNAKE
3505,Uaua,Małpka,MONKEY
3506,Bambam,Bęben ,DRUM
3507,Aja aja,Głaskać,STROKE
3508,Pusia,Puszka,TIN
3509,Fala szuu,Fala,WAVE
3510,Kawa,Kawa,COFFEE
3511,Gili gili,Łaskotki,TICKLE
3512,Pan,Człowiek ,HUMAN
3513,Halo,Halo,HELLO
3514,Hej,Hej,HI
3515,Szyja,Szyja,NECK
3516,Morze,Morze,SEA
3517,Muza,Muzyka,MUSIC
3518,Szu szu,Zamiatać,SWEEP
3519,Sushi,Sushi,SUSHI
3520,Ryż,Ryż,RICE
3521,Buzi,Buziak,KISS
3522,Stum,Stół,TABLE
3523,Balol,Balon ,BALLOON
3524,Poczita,Poczytaj,READ
3525,Pajo,Pająk,SPIDER
3526,Wstań,Wstań,GET-UP
3527,Szuszi,Sushi ,SUSHI
3528,Puć tam,Pójddź tam,GO
3529,Tu,Tu,HERE
3530,Tam,Tam,THERE
3531,wszyscy,wszyscy ,EVERYBODY
3532,Bluza,Bluza ,SWEATSHIRT
3533,Kita,Kitka,PONYTAIL
3534,Mamusiu,Mamusiu,MOM
3535,mniam,jedzenie,FOOD
3536,Fśi,śpi,SLEEPING
3537,po,Pomidor,TOMATO
3538,Bam,Piłka,BALL
3539,Brum,Samochód,CAR
3540,Hau,Pies,DOG
3541,ka,Tak,YES
3542,Kap kap,deszcz,RAIN
3543,Koko,imię psa,PET
3544,Mi,Miś,TEDDY-BEAR
3545,Miau,Kot,CAT
3546,Pi pi,Ptak,BIRD
3547,Ryk/charczenie,"Lew, nieddźwieddź - zwierzęta, które ryczą",BEAR
3548,Ryk/charczenie,"Lew, nieddźwieddź - zwierzęta, które ryczą",LION
3549,Siesień,Jesień,AUTUMN
3550,a-ha,Koń,HORSE
3551,Ba,przewrócił się,BAM
3552,Bam,Bęben,DRUM
3553,bzz,Mucha/pszczoła,BEE
3554,bzz,Mucha/pszczoła,FLY
3555,Cia,Nożyczki,SCISSORS
3556,Ciu ciu,Pociąg,TRAIN
3557,Dzyń dzyń,Dzwonek,BELL
3558,iś,Liść,LEAF
3559,Kic kic,Zając,RABBIT
3560,ko ko,Kura,HEN
3561,kopka,Koparka,EXCAVATOR
3562,Kuj,Kogut,COCK
3563,Mmmmm,Krowa,COW
3564,Mniam,jedzenie,FOOD
3565,Nie,Nie,NO
3566,Miś,Miś,TEDDY-BEAR
3567,Baban,Banan,BANANA
3568,Dom,Dom,HOME
3569,Bu,autobus,BUS
3570,Ce,Cześć,HI
3571,dydydy,wózek,STROLLER
3572,dzieci,dzieci,CHILDREN
3573,dzien,Dziękuję,THANK-YOU
3574,Gaga,Lilka (imię siostry),SIBLING
3575,go go,Gorące,HOT
3576,ijo,Straż pożarna,FIRE-BRIGADE
3577,is,Lis,FOX
3578,Kapka,Czapka,CAP
3579,mumu,pomóż,HELP
3580,papamla,Lampa,LAMP
3581,siusiu,siku/nocnik,PEE
3582,siusiu,siku/nocnik,POTTY
3583,pi,Picie,DRINK
3584,jedzie,jedzie,DRIVE
3585,Niania,Niania,NANNY
3586,kaka,kawa,COFFEE
3587,ko,koniec,END 
3588,nic,nic,NOTHING 
3589,paapa,herbata,TEA
3590,sień,wstań,GET-UP
3591,siuń,słoń,ELEPHANT
3592,na,nasz,OUR
3593,nu,nóż,KNIFE
3594,ko,kot,CAT
3595,abuo,jabłko,APPLE
3596,Mama,Mama,MOM
3597,Tata,Tata,DAD
3598,Baba,Babcia,GRANDMA
3599,Dziadzia,Dziadek,GRANDPA
3600,Ciocia,Ciocia,AUNT
3601,Piotuś,Piotruś,PERSON
3602,Poli,Paulina,PERSON
3603,Kasia,Kasia,PERSON
3604,Ami,Ami (Amelka),PERSON
3605,Kua,Kuba,PERSON
3606,Ania,"Ania, Hania",PERSON
3607,Pam,Pan,MAN
3608,Pami,Pani,LADY
3609,Uszy,Uszy,EARS
3610,Oczi,Oczy,EYE
3611,Nos,Nos,NOSE
3612,Buzia,Buzia,FACE
3613,Pupa,Pupa,BOTTOM
3614,Sisi,Siusiu,PEE
3615,Am,"Jeść, głodny ",EAT
3616,Am,"Jeść, głodny ",HUNGRY
3617,Buju buju,"Huśtawka, bujać się",SWING
3618,Kocki,Klocki,BLOCKS
3619,Gasić,Gasić,EXTINGUISH
3620,Posze,Proszę,PLEASE
3621,Cześć,Cześć,HI
3622,Pa pa,Pa pa,BYE
3623,Siema,Cześć,HI
3624,Bamam,Banan,BANANA
3625,Ananas,Ananas,PINEAPPLE
3626,Patki,Płatki,PETAL
3627,Kuki,Kulki,BALL
3628,Pisie,Picie,DRINK
3629,Tu,Tu,HERE
3630,Siam,Sam,BY-MYSELF
3631,Ta,Tak,YES
3632,Nie,Nie,NO
3633,Puciu,Pucio,CHARACTER
3634,Basia,Książka basia,CHARACTER
3635,Kicia,Kot,CAT
3636,A a,"Hau hau, pies",DOG
3637,Buza,Bluza,SWEATSHIRT
3638,Buty,Buty,SHOES
3639,Io io io,Straż pożarna,FIRE-BRIGADE
3640,Iha,Koń,HORSE
3641,Muu,Krowa,COW
3642,Pepa,świnka pepa,CHARACTER
3643,Kin,Quin - zygzak,CHARACTER
3644,Ka ka,"Kra kra, wrona, ptak",CROW
3645,Guły,Góry,MOUNTAIN
3646,Dom,Dom,HOME
3647,Ko ko,Smoczek,PACIFIER
3648,Zdziś,Miś,TEDDY-BEAR
3649,Kulik,Królik,RABBIT
3650,Baon,Balon,BALLOON
3651,Auta,Auto,CAR
3652,Brum,Auto,CAR
3653,Autodzus,Autobus,BUS
3654,Dzik,Dzik,BOAR
3655,Gru gru,Gołąb,DOVE
3656,Hrr,"Chrum, świnka",PIGGY
3657,Samoot,Samolot,PLANE
3658,Boim,Boje się,SCARED
3659,Zimo,Zimno,COLD
3660,Koś,Kosz,BASKET
3661,Aku ku,Aku ku,PEEKABOO
3662,Puk puk,Puk puk,KNOCK-KNOCK
3663,Bawan,Bałwan,SNOWMAN
3664,Dewo,Drzewo,TREE
3665,Kap kap,Deszcz,RAIN
3666,Budźa,Burza,STORM
3667,Bam,Coś upadło,BAM
3668,Bum,Stluczka,ACCIDENT
3669,Kuku,"Rana, boli",HURTS
3670,Kuku,"Rana, boli",WOUND
3671,Gowa,Głowa,HEAD
3672,Kofam,Kocham,LOVE
3673,Moje,Moje,MY
3674,Garaż,Garaż,GARAGE
3675,śśś,śmieciarka,GARBAGE-TRUCK
3676,Duzi,Duży,BIG
3677,Kask,Kask,HELMET
3678,Kosi,Kosi kosi łapci,FORMULAIC
3679,Tutaj,Tutaj,HERE
3680,Kekup,Keczup,KETCHUP
3681,Babun,Balon,BALLOON
3682,"Dzidzia, bobo",Dziecko,BABY
3683,Dziedzi,Dzieci,CHILDREN
3684,Kameń,Kamień,STONE
3685,Ociec,Ojciec,DAD
3686,Guły,Góry,MOUNTAIN
3687,Gooom,Gol,GOAL
3688,Kokej,Helikopter,HELICOPTER
3689,Hokej,Helikopter,HELICOPTER
3690,Zimo,Zimno,COLD
3691,Siemap,ślimak,SNAIL
3692,Dupa,Zupa,SOUP
3693,Mu,Krowa,COW
3694,A a ,"Hau hau, pies",DOG
3695,Iha,"Koń, iha",HORSE
3696,Pi pi,Mysz tak robi,MOUSSE
3697,Ka ka,"Kra kra, kwa kwa",CROW
3698,Kum kum,Kum kum,FROG
